time,x,y,z,vx,vy,vz
329,-9,14,5,1,2,-13
330,-7,13,-11,2,-1,-16
331,-4,9,-25,3,-4,-14
332,0,4,-36,4,-5,-11
333,5,-2,-44,5,-6,-8
334,11,-7,-49,6,-5,-5
335,14,-9,-51,3,-2,-2
336,14,-8,-50,0,1,1
337,11,-5,-46,-3,3,4
338,5,-1,-39,-6,4,7
339,-4,4,-29,-9,5,10
340,-14,8,-16,-10,4,13
341,-22,11,0,-8,3,16
342,-27,11,13,-5,0,13
343,-29,8,23,-2,-3,10
344,-28,4,30,1,-4,7
345,-24,0,34,4,-4,4
346,-17,-3,35,7,-3,1
347,-8,-5,33,9,-2,-2
348,0,-6,28,8,-1,-5
349,7,-4,20,7,2,-8
350,11,-1,9,4,3,-11
351,12,3,-5,1,4,-14
352,10,6,-20,-2,3,-15
353,5,8,-32,-5,2,-12
354,-1,9,-41,-6,1,-9
355,-6,9,-47,-5,0,-6
356,-10,6,-50,-4,-3,-3
357,-13,2,-50,-3,-4,0
358,-15,-2,-47,-2,-4,3
359,-16,-5,-41,-1,-3,6
360,-14,-7,-32,2,-2,9
361,-9,-8,-20,5,-1,12
362,-5,-8,-5,4,0,15
363,-2,-5,8,3,3,13
364,0,0,18,2,5,10
365,1,6,25,1,6,7
366,1,11,29,0,5,4
367,0,15,30,-1,4,1
368,-2,16,28,-2,1,-2
369,-5,14,23,-3,-2,-5
370,-9,9,15,-4,-5,-8
371,-12,3,4,-3,-6,-11
372,-14,-4,-10,-2,-7,-14
373,-15,-10,-23,-1,-6,-13
374,-15,-13,-33,0,-3,-10
375,-14,-13,-40,1,0,-7
376,-12,-10,-44,2,3,-4
377,-9,-4,-45,3,6,-1
378,-7,3,-43,2,7,2
379,-6,10,-38,1,7,5
380,-6,14,-30,0,4,8
381,-5,15,-19,1,1,11
382,-5,13,-5,0,-2,14
383,-6,8,7,-1,-5,12
384,-8,3,16,-2,-5,9
385,-9,-1,22,-1,-4,6
386,-9,-4,25,0,-3,3
387,-8,-6,25,1,-2,0
388,-6,-5,22,2,1,-3
389,-3,-1,16,3,4,-6
390,1,4,7,4,5,-9
391,4,8,-5,3,4,-12
392,6,11,-20,2,3,-15
393,7,13,-32,1,2,-12
394,7,14,-41,0,1,-9
395,6,12,-47,-1,-2,-6
396,4,7,-50,-2,-5,-3
397,1,1,-50,-3,-6,0
398,-3,-4,-47,-4,-5,3
399,-8,-8,-41,-5,-4,6
400,-14,-11,-32,-6,-3,9
401,-19,-13,-20,-5,-2,12
402,-23,-12,-5,-4,1,15
403,-26,-8,10,-3,4,15
404,-26,-1,22,0,7,12
405,-23,7,31,3,8,9
406,-19,14,37,4,7,6
407,-14,20,40,5,6,3
408,-8,23,40,6,3,0
409,-1,23,37,7,0,-3
410,5,20,31,6,-3,-6
411,10,14,22,5,-6,-9
412,14,5,10,4,-9,-12
413,17,-5,-5,3,-10,-15
414,17,-14,-21,0,-9,-16
415,14,-20,-34,-3,-6,-13
416,8,-23,-44,-6,-3,-10
417,1,-23,-51,-7,0,-7
418,-7,-20,-55,-8,3,-4
419,-15,-14,-56,-8,6,-1
420,-22,-5,-54,-7,9,2
421,-28,5,-49,-6,10,5
422,-33,14,-41,-5,9,8
423,-35,20,-30,-2,6,11
424,-34,23,-16,1,3,14
425,-30,23,1,4,0,17
426,-23,20,15,7,-3,14
427,-13,14,26,10,-6,11
428,-2,7,34,11,-7,8
429,8,-1,39,10,-8,5
430,17,-10,41,9,-9,2
431,25,-16,40,8,-6,-1
432,30,-19,36,5,-3,-4
433,32,-19,29,2,0,-7
434,31,-16,19,-1,3,-10
435,27,-12,6,-4,4,-13
436,20,-7,-10,-7,5,-16
437,10,-1,-25,-10,6,-15
438,-3,6,-37,-13,7,-12
439,-15,12,-46,-12,6,-9
440,-26,15,-52,-11,3,-6
441,-34,15,-55,-8,0,-3
442,-39,12,-55,-5,-3,0
443,-41,8,-52,-2,-4,3
444,-40,3,-46,1,-5,6
445,-36,-3,-37,4,-6,9
446,-29,-8,-25,7,-5,12
447,-19,-12,-10,10,-4,15
448,-8,-14,6,11,-2,16
449,4,-13,19,12,1,13
450,14,-9,29,10,4,10
451,21,-2,36,7,7,7
452,25,6,40,4,8,4
453,26,13,41,1,7,1
454,24,19,39,-2,6,-2
455,19,23,34,-5,4,-5
456,13,24,26,-6,1,-8
457,6,22,15,-7,-2,-11
458,-2,17,1,-8,-5,-14
459,-11,9,-16,-9,-8,-17
460,-19,0,-30,-8,-9,-14
461,-24,-8,-41,-5,-8,-11
462,-26,-15,-49,-2,-7,-8
463,-27,-19,-54,-1,-4,-5
464,-27,-20,-56,0,-1,-2
465,-26,-18,-55,1,2,1
466,-24,-13,-51,2,5,4
467,-21,-5,-44,3,8,7
468,-17,6,-34,4,11,10
469,-12,16,-21,5,10,13
470,-6,23,-5,6,7,16
471,-1,27,10,5,4,15
472,3,28,22,4,1,12
473,6,26,31,3,-2,9
474,8,21,37,2,-5,6
475,9,13,40,1,-8,3
476,9,2,40,0,-11,0
477,8,-8,37,-1,-10,-3
478,6,-15,31,-2,-7,-6
479,3,-19,22,-3,-4,-9
480,-1,-20,10,-4,-1,-12
481,-6,-18,-5,-5,2,-15
482,-12,-13,-21,-6,5,-16
483,-17,-7,-34,-5,6,-13
484,-21,0,-44,-4,7,-10
485,-24,8,-51,-3,8,-7
486,-26,15,-55,-2,7,-4
487,-27,19,-56,-1,4,-1
488,-27,20,-54,0,1,2
489,-26,18,-49,1,-2,5
490,-22,15,-41,4,-3,8
491,-17,11,-30,5,-4,11
492,-11,6,-16,6,-5,14
493,-4,0,-1,7,-6,15
494,2,-5,11,6,-5,12
495,7,-8,20,5,-3,9
496,11,-10,26,4,-2,6
497,14,-11,29,3,-1,3
498,14,-11,29,0,0,0
499,11,-10,26,-3,1,-3
500,7,-8,20,-4,2,-6
501,2,-5,11,-5,3,-9
502,-4,-1,-1,-6,4,-12
503,-11,2,-16,-7,3,-15
504,-19,6,-28,-8,4,-12
505,-24,9,-37,-5,3,-9
506,-26,11,-43,-2,2,-6
507,-25,12,-46,1,1,-3
508,-21,12,-46,4,0,0
509,-16,11,-43,5,-1,3
510,-10,9,-37,6,-2,6
511,-5,8,-28,5,-1,9
512,-1,6,-16,4,-2,12
513,2,3,-1,3,-3,15
514,4,-1,11,2,-4,12
515,5,-4,20,1,-3,9
516,3,-6,26,-2,-2,6
517,-2,-7,29,-5,-1,3
518,-6,-7,29,-4,0,0
519,-9,-6,26,-3,1,-3
520,-11,-4,20,-2,2,-6
521,-12,-1,11,-1,3,-9
522,-12,3,-1,0,4,-12
523,-11,8,-14,1,5,-13
524,-9,14,-24,2,6,-10
525,-6,17,-31,3,3,-7
526,-4,17,-35,2,0,-4
527,-3,14,-36,1,-3,-1
528,-3,10,-34,0,-4,2
529,-4,5,-29,-1,-5,5
530,-6,-1,-21,-2,-6,8
531,-9,-8,-10,-3,-7,11
532,-13,-14,1,-4,-6,11
533,-16,-17,9,-3,-3,8
534,-18,-17,14,-2,0,5
535,-19,-14,16,-1,3,2
536,-19,-8,15,0,6,-1
537,-18,-1,11,1,7,-4
538,-16,5,4,2,6,-7
539,-13,10,-6,3,5,-10
540,-7,14,-18,6,4,-12
541,0,17,-27,7,3,-9
542,6,17,-33,6,0,-6
543,11,14,-36,5,-3,-3
544,15,9,-36,4,-5,0
545,18,3,-33,3,-6,3
546,20,-2,-27,2,-5,6
547,21,-6,-18,1,-4,9
548,21,-9,-6,0,-3,12
549,20,-11,6,-1,-2,12
550,16,-10,15,-4,1,9
551,9,-8,21,-7,2,6
552,-1,-5,24,-10,3,3
553,-12,-1,24,-11,4,0
554,-22,4,21,-10,5,-3
555,-31,8,15,-9,4,-6
556,-39,11,6,-8,3,-9
557,-46,11,-6,-7,0,-12
558,-50,10,-19,-4,-1,-13
559,-51,8,-29,-1,-2,-10
560,-49,5,-36,2,-3,-7
561,-44,1,-40,5,-4,-4
562,-36,-4,-41,8,-5,-1
563,-25,-8,-39,11,-4,2
564,-11,-9,-34,14,-1,5
565,4,-7,-26,15,2,8
566,18,-4,-15,14,3,11
567,29,0,-3,11,4,12
568,37,5,8,8,5,11
569,42,11,16,5,6,8
570,44,16,21,2,5,5
571,43,18,23,-1,2,2
572,39,17,22,-4,-1,-1
573,32,13,18,-7,-4,-4
574,22,6,11,-10,-7,-7
575,9,-2,1,-13,-8,-10
576,-7,-10,-10,-16,-8,-11
577,-24,-15,-22,-17,-5,-12
578,-38,-17,-31,-14,-2,-9
579,-49,-16,-37,-11,1,-6
580,-57,-12,-40,-8,4,-3
581,-62,-5,-40,-5,7,0
582,-64,5,-37,-2,10,3
583,-63,14,-31,1,9,6
584,-59,20,-23,4,6,8
585,-52,23,-14,7,3,9
586,-42,23,-4,10,0,10
587,-29,20,7,13,-3,11
588,-13,14,15,16,-6,8
589,4,5,20,17,-9,5
590,20,-7,22,16,-12,2
591,33,-16,21,13,-9,-1
592,43,-22,17,10,-6,-4
593,50,-25,10,7,-3,-7
594,54,-25,2,4,0,-8
595,55,-22,-7,1,3,-9
596,53,-16,-17,-2,6,-10
597,48,-7,-26,-5,9,-9
598,40,5,-32,-8,12,-6
599,29,16,-35,-11,11,-3
600,15,24,-35,-14,8,0
601,0,29,-32,-15,5,3
602,-16,31,-26,-16,2,6
603,-31,30,-19,-15,-1,7
604,-43,26,-11,-12,-4,8
605,-52,19,-2,-9,-7,9
606,-58,9,8,-6,-10,10
607,-61,-2,15,-3,-11,7
608,-61,-12,19,0,-10,4
609,-58,-19,20,3,-7,1
610,-52,-23,18,6,-4,-2
611,-43,-24,13,9,-1,-5
612,-31,-22,5,12,2,-8
613,-18,-17,-4,13,5,-9
614,-4,-11,-14,14,6,-10
615,10,-4,-25,14,7,-11
616,21,4,-33,11,8,-8
617,29,13,-38,8,9,-5
618,34,19,-40,5,6,-2
619,36,22,-39,2,3,1
620,35,22,-35,-1,0,4
621,31,21,-28,-4,-1,7
622,26,19,-18,-5,-2,10
623,20,16,-7,-6,-3,11
624,13,12,5,-7,-4,12
625,5,7,14,-8,-5,9
626,-4,1,20,-9,-6,6
627,-14,-6,23,-10,-7,3
628,-23,-12,23,-9,-6,0
629,-29,-15,20,-6,-3,-3
630,-32,-15,14,-3,0,-6
631,-32,-14,5,0,1,-9
632,-31,-12,-7,1,2,-12
633,-29,-9,-20,2,3,-13
634,-26,-5,-30,3,4,-10
635,-22,0,-37,4,5,-7
636,-17,6,-41,5,6,-4
637,-11,13,-42,6,7,-1
638,-4,19,-40,7,6,2
639,4,22,-35,8,3,5
640,13,22,-27,9,0,8
641,19,19,-16,6,-3,11
642,22,15,-2,3,-4,14
643,22,10,9,0,-5,11
644,19,4,17,-3,-6,8
645,15,-3,22,-4,-7,5
646,10,-11,24,-5,-8,2
647,4,-18,23,-6,-7,-1
648,-3,-24,19,-7,-6,-4
649,-11,-27,12,-8,-3,-7
650,-20,-27,2,-9,0,-10
651,-30,-24,-11,-10,3,-13
652,-39,-18,-23,-9,6,-12
653,-45,-10,-32,-6,8,-9
654,-48,-1,-38,-3,9,-6
655,-48,9,-41,0,10,-3
656,-45,20,-41,3,11,0
657,-39,30,-38,6,10,3
658,-30,37,-32,9,7,6
659,-20,41,-23,10,4,9
660,-9,42,-12,11,1,11
661,3,40,-2,12,-2,10
662,16,35,7,13,-5,9
663,28,27,13,12,-8,6
664,39,16,16,11,-11,3
665,47,4,16,8,-12,0
666,52,-9,13,5,-13,-3
667,54,-21,7,2,-12,-6
668,53,-30,-2,-1,-9,-9
669,49,-36,-10,-4,-6,-8
670,42,-39,-17,-7,-3,-7
671,32,-39,-23,-10,0,-6
672,19,-36,-28,-13,3,-5
673,3,-30,-30,-16,6,-2
674,-14,-21,-29,-17,9,1
675,-32,-9,-25,-18,12,4
676,-49,4,-18,-17,13,7
677,-63,18,-10,-14,14,8
678,-74,29,-3,-11,11,7
679,-82,37,3,-8,8,6
680,-87,42,8,-5,5,5
681,-89,44,12,-2,2,4
682,-88,43,15,1,-1,3
683,-84,39,15,4,-4,0
684,-77,32,12,7,-7,-3
685,-67,22,6,10,-10,-6
686,-54,9,-3,13,-13,-9
687,-38,-5,-11,16,-14,-8
688,-19,-18,-18,19,-13,-7
689,1,-28,-24,20,-10,-6
690,22,-35,-29,21,-7,-5
691,40,-39,-33,18,-4,-4
692,55,-40,-35,15,-1,-2
693,67,-38,-34,12,2,1
694,76,-33,-30,9,5,4
695,82,-25,-23,6,8,7
696,85,-14,-13,3,11,10
697,85,0,-4,0,14,9
698,82,15,4,-3,15,8
699,76,29,11,-6,14,7
700,67,40,17,-9,11,6
701,55,48,20,-12,8,3
702,40,53,20,-15,5,0
703,22,55,17,-18,2,-3
704,3,54,11,-19,-1,-6
705,-17,50,2,-20,-4,-9
706,-36,43,-10,-19,-7,-12
707,-54,33,-21,-18,-10,-11
708,-69,20,-31,-15,-13,-10
709,-81,4,-38,-12,-16,-7
710,-90,-11,-42,-9,-15,-4
711,-96,-23,-43,-6,-12,-1
712,-99,-32,-41,-3,-9,2
713,-99,-38,-36,0,-6,5
714,-96,-41,-28,3,-3,8
715,-90,-41,-17,6,0,11
716,-81,-38,-3,9,3,14
717,-69,-32,10,12,6,13
718,-54,-23,20,15,9,10
719,-36,-11,27,18,12,7
720,-17,2,31,19,13,4
721,3,16,32,20,14,1
722,22,27,30,19,11,-2
723,40,35,25,18,8,-5
724,55,40,17,15,5,-8
725,67,42,6,12,2,-11
726,76,41,-8,9,-1,-14
727,82,37,-21,6,-4,-13
728,85,30,-33,3,-7,-12
729,85,20,-42,0,-10,-9
730,82,9,-48,-3,-11,-6
731,76,-3,-51,-6,-12,-3
732,67,-14,-51,-9,-11,0
733,55,-22,-48,-12,-8,3
734,40,-27,-42,-15,-5,6
735,22,-29,-33,-18,-2,9
736,1,-28,-21,-21,1,12
737,-19,-24,-6,-20,4,15
738,-38,-19,8,-19,5,14
739,-56,-13,19,-18,6,11
740,-71,-6,27,-15,7,8
741,-83,2,32,-12,8,5
742,-92,9,34,-9,7,2
743,-98,15,33,-6,6,-1
744,-101,18,29,-3,3,-4
745,-101,18,22,0,0,-7
746,-98,17,12,3,-1,-10
747,-92,15,-1,6,-2,-13
748,-83,12,-17,9,-3,-16
749,-71,8,-30,12,-4,-13
750,-56,3,-40,15,-5,-10
751,-38,-1,-47,18,-4,-7
752,-19,-4,-51,19,-3,-4
753,-1,-6,-52,18,-2,-1
754,16,-7,-50,17,-1,2
755,32,-7,-45,16,0,5
756,45,-6,-37,13,1,8
757,55,-4,-26,10,2,11
758,62,-3,-12,7,1,14
759,66,-3,3,4,0,15
760,67,-4,15,1,-1,12
761,65,-6,24,-2,-2,9
762,60,-7,30,-5,-1,6
763,52,-7,33,-8,0,3
764,41,-6,33,-11,1,0
765,27,-2,30,-14,4,-3
766,12,3,24,-15,5,-6
767,-3,9,15,-15,6,-9
768,-17,16,3,-14,7,-12
769,-30,22,-10,-13,6,-13
770,-42,27,-24,-12,5,-14
771,-53,31,-35,-11,4,-11
772,-61,32,-43,-8,1,-8
773,-66,30,-48,-5,-2,-5
774,-68,25,-50,-2,-5,-2
775,-67,17,-49,1,-8,1
776,-63,6,-45,4,-11,4
777,-56,-7,-38,7,-13,7
778,-46,-19,-28,10,-12,10
779,-34,-28,-15,12,-9,13
780,-21,-34,1,13,-6,16
781,-9,-37,14,12,-3,13
782,2,-37,24,11,0,10
783,12,-34,31,10,3,7
784,21,-28,35,9,6,4
785,29,-19,36,8,9,1
786,36,-7,34,7,12,-2
787,42,6,29,6,13,-5
788,47,17,21,5,11,-8
789,49,25,10,2,8,-11
790,48,30,-4,-1,5,-14
791,44,32,-19,-4,2,-15
792,37,31,-32,-7,-1,-13
793,27,27,-42,-10,-4,-10
794,15,20,-49,-12,-7,-7
795,2,12,-53,-13,-8,-4
796,-10,5,-54,-12,-7,-1
797,-21,-1,-52,-11,-6,2
798,-31,-6,-47,-10,-5,5
799,-40,-10,-39,-9,-4,8
800,-48,-11,-28,-8,-1,11
801,-55,-9,-14,-7,2,14
802,-61,-6,3,-6,3,17
803,-66,-2,17,-5,4,14
804,-70,1,28,-4,3,11
805,-71,3,36,-1,2,8
806,-69,4,41,2,1,5
807,-64,4,43,5,0,2
808,-56,3,42,8,-1,-1
809,-45,1,38,11,-2,-4
810,-31,-2,31,14,-3,-7
811,-14,-4,21,17,-2,-10
812,2,-5,8,16,-1,-13
813,17,-5,-8,15,0,-16
