y=624, x=455..478
y=1692, x=375..377
x=436, y=1195..1203
x=328, y=301..317
y=378, x=445..449
y=1123, x=510..567
x=320, y=231..253
y=1043, x=556..571
y=880, x=439..465
x=408, y=650..656
x=570, y=1096..1103
x=444, y=1054..1059
y=317, x=469..472
x=494, y=327..340
x=473, y=1265..1278
y=600, x=501..516
x=568, y=732..736
x=357, y=1589..1594
x=578, y=1353..1367
y=1563, x=322..332
x=439, y=371..382
y=536, x=538..542
y=1758, x=331..519
x=428, y=1503..1514
x=540, y=1016..1018
x=314, y=1602..1612
y=1325, x=404..430
y=1131, x=335..338
x=467, y=635..647
y=1367, x=322..341
x=372, y=1417..1422
y=1351, x=548..562
x=568, y=472..475
y=689, x=423..433
x=523, y=48..50
x=428, y=1367..1390
x=447, y=320..332
x=323, y=1310..1325
x=429, y=1037..1043
y=1226, x=368..390
x=429, y=1284..1293
y=1459, x=519..521
x=567, y=943..948
x=560, y=591..595
x=475, y=1241..1254
x=452, y=1195..1208
y=656, x=544..571
x=383, y=1567..1580
x=574, y=1495..1517
y=423, x=415..422
y=1446, x=561..581
y=609, x=361..364
x=413, y=1369..1393
x=314, y=1389..1390
y=1373, x=518..545
y=795, x=334..359
y=1145, x=562..564
x=433, y=216..235
x=328, y=1584..1597
y=1793, x=467..493
y=391, x=343..367
x=494, y=934..938
y=1492, x=581..588
x=485, y=832..838
x=507, y=1705..1714
y=1559, x=470..490
y=1573, x=535..538
x=504, y=709..721
x=463, y=415..428
x=503, y=305..317
x=553, y=1471..1479
x=452, y=1313..1317
y=1608, x=459..475
x=451, y=128..153
y=108, x=399..401
y=189, x=542..544
x=443, y=627..644
x=357, y=209..211
x=351, y=577..580
y=1588, x=449..451
y=409, x=469..478
y=742, x=557..582
y=449, x=472..474
x=465, y=619..621
x=521, y=233..248
x=383, y=895..908
x=526, y=1462..1479
x=436, y=394..398
y=80, x=549..554
x=455, y=700..702
x=457, y=263..277
x=470, y=776..789
x=369, y=345..353
x=469, y=929..947
x=521, y=1446..1459
y=1596, x=549..566
y=56, x=544..551
y=1090, x=477..479
x=343, y=374..391
y=1152, x=544..570
x=409, y=436..438
x=337, y=270..274
y=506, x=557..562
x=564, y=594..618
y=1627, x=424..434
y=217, x=495..503
y=1001, x=325..333
x=332, y=1556..1563
y=1391, x=359..367
y=866, x=383..391
x=377, y=1776..1798
y=949, x=500..509
y=1407, x=449..470
x=538, y=1552..1573
x=503, y=1176..1186
x=466, y=1592..1605
x=441, y=1141..1148
y=393, x=509..513
x=518, y=1365..1373
x=411, y=685..707
x=434, y=770..786
x=578, y=1229..1248
y=549, x=400..422
x=408, y=938..950
x=534, y=1050..1060
y=1347, x=418..441
y=813, x=497..513
x=469, y=384..409
y=1335, x=465..469
x=404, y=53..81
x=567, y=800..821
x=373, y=589..615
x=473, y=354..358
x=385, y=1488..1506
x=451, y=540..555
y=1675, x=369..415
x=374, y=396..403
y=166, x=323..327
x=420, y=810..823
x=338, y=1432..1453
x=527, y=276..293
x=551, y=896..908
x=498, y=71..80
y=422, x=540..567
x=509, y=1141..1156
x=389, y=1364..1366
x=341, y=1727..1738
x=412, y=208..222
y=442, x=581..586
x=341, y=46..66
y=979, x=470..482
y=1283, x=389..398
x=503, y=1665..1691
y=171, x=469..485
x=389, y=1190..1206
x=545, y=357..365
x=525, y=797..822
x=539, y=780..790
x=382, y=1191..1206
y=648, x=388..400
x=353, y=784..790
y=1691, x=500..503
y=822, x=525..527
x=576, y=1005..1017
x=500, y=1254..1258
x=569, y=1391..1414
x=531, y=830..844
x=333, y=992..1001
x=452, y=1347..1357
y=1367, x=578..592
y=1019, x=399..426
x=573, y=732..736
x=535, y=608..620
x=318, y=1669..1676
x=501, y=589..600
x=340, y=1458..1475
x=348, y=98..113
x=350, y=1669..1671
y=1695, x=367..386
y=1100, x=336..342
x=329, y=1175..1188
x=583, y=1182..1206
x=502, y=1769..1782
x=359, y=779..795
y=1132, x=356..362
x=445, y=1612..1619
x=469, y=306..317
x=453, y=75..93
y=85, x=490..506
y=1020, x=565..583
x=459, y=1595..1608
x=480, y=1179..1182
x=326, y=972..982
x=486, y=11..20
y=477, x=335..346
y=1239, x=514..524
x=358, y=1702..1715
x=449, y=374..378
y=924, x=418..437
x=441, y=129..153
x=463, y=439..453
y=1231, x=438..457
x=403, y=1188..1191
x=558, y=290..305
y=1427, x=470..488
y=535, x=494..496
x=464, y=1153..1165
y=1086, x=573..594
x=575, y=290..305
x=570, y=1691..1701
x=438, y=1217..1231
y=1612, x=314..331
x=544, y=1132..1152
y=972, x=493..499
x=581, y=1435..1446
x=543, y=1704..1715
x=524, y=955..964
y=656, x=499..501
x=590, y=715..741
x=315, y=523..547
x=521, y=810..823
x=404, y=1617..1630
x=435, y=492..503
x=531, y=107..109
x=466, y=1123..1126
y=1148, x=423..441
y=700, x=453..455
x=517, y=1323..1343
x=395, y=962..979
y=317, x=322..328
y=56, x=322..324
x=325, y=992..1001
x=469, y=592..604
x=427, y=1777..1789
x=340, y=1624..1641
x=466, y=1618..1638
y=1381, x=474..482
x=538, y=493..495
x=585, y=1051..1064
y=423, x=516..518
x=422, y=523..549
y=638, x=514..534
y=1038, x=528..532
x=501, y=771..784
x=535, y=1551..1573
x=433, y=333..349
y=1129, x=335..338
x=402, y=187..191
x=558, y=680..691
x=318, y=1132..1135
x=415, y=248..255
x=529, y=981..1003
x=316, y=1766..1780
x=428, y=732..736
y=475, x=568..579
x=500, y=993..1016
x=433, y=687..689
x=424, y=1037..1043
x=453, y=1376..1378
y=416, x=322..350
x=577, y=1472..1479
x=338, y=1624..1641
x=485, y=304..317
x=476, y=464..474
x=574, y=214..240
y=965, x=347..355
x=453, y=700..702
x=359, y=662..666
x=481, y=96..105
x=483, y=219..229
x=524, y=928..934
x=555, y=1059..1083
x=428, y=945..947
x=430, y=945..947
x=556, y=1029..1043
x=471, y=1019..1038
y=206, x=470..474
x=443, y=1289..1299
y=844, x=509..531
y=1293, x=402..429
x=321, y=1070..1082
y=182, x=505..515
x=528, y=352..356
y=979, x=395..399
x=373, y=1590..1599
x=487, y=113..127
y=1082, x=321..336
x=473, y=638..640
x=562, y=1325..1351
x=432, y=1611..1619
x=378, y=590..603
y=973, x=562..576
x=314, y=50..60
y=593, x=578..591
x=422, y=418..423
y=453, x=463..483
y=1701, x=570..586
x=340, y=25..37
x=571, y=1438..1441
y=1165, x=462..464
y=666, x=354..359
x=373, y=1185..1193
x=478, y=1438..1452
x=570, y=1133..1152
x=378, y=1416..1422
x=400, y=623..648
x=457, y=1196..1206
x=436, y=1481..1491
y=614, x=330..339
x=314, y=206..213
x=464, y=1239..1250
x=317, y=835..840
x=576, y=970..973
x=554, y=1766..1778
x=521, y=980..1003
y=1517, x=571..574
y=1650, x=541..549
x=375, y=1681..1692
x=462, y=1290..1299
x=546, y=1705..1715
x=335, y=714..724
x=405, y=336..360
x=538, y=1465..1471
x=323, y=148..166
y=926, x=337..354
x=356, y=441..459
x=437, y=913..924
y=908, x=383..551
x=331, y=847..862
x=459, y=929..947
x=511, y=1604..1617
x=494, y=99..101
x=427, y=716..725
y=1001, x=366..368
x=375, y=926..947
y=763, x=431..492
y=1697, x=409..467
x=544, y=46..56
y=503, x=419..435
y=1573, x=390..392
y=621, x=461..465
y=498, x=460..478
x=555, y=207..232
x=524, y=1254..1258
x=496, y=184..200
x=517, y=1170..1179
y=1566, x=348..351
x=589, y=683..709
y=709, x=577..589
y=1208, x=446..452
y=1088, x=439..465
y=1182, x=480..496
y=54, x=322..324
x=452, y=423..425
x=578, y=1695..1698
x=369, y=1665..1675
x=330, y=505..510
x=347, y=969..971
x=447, y=297..303
x=405, y=403..410
y=1743, x=557..569
x=364, y=609..612
x=551, y=45..56
y=729, x=371..374
y=970, x=542..546
y=1672, x=379..391
x=513, y=1584..1599
x=530, y=414..426
x=361, y=209..211
y=288, x=406..421
x=360, y=1469..1494
x=471, y=1055..1059
y=563, x=537..560
x=499, y=952..972
x=580, y=202..217
y=1376, x=448..453
x=532, y=1385..1400
x=446, y=1463..1474
x=455, y=541..555
x=322, y=939..947
x=369, y=1589..1599
x=430, y=1366..1390
x=549, y=685..711
y=516, x=478..480
x=448, y=771..786
x=594, y=1072..1086
x=479, y=675..687
y=1038, x=471..488
y=1083, x=542..555
y=1693, x=443..447
x=467, y=570..587
x=343, y=805..811
x=403, y=1041..1050
x=509, y=391..393
y=64, x=492..512
x=546, y=1727..1751
x=447, y=696..706
y=1529, x=439..461
x=346, y=1277..1289
x=465, y=832..838
x=351, y=1557..1566
x=355, y=937..965
x=488, y=1020..1038
x=510, y=1535..1546
x=474, y=1370..1381
x=470, y=1134..1147
y=44, x=471..492
x=392, y=97..112
x=381, y=1378..1381
x=369, y=786..795
x=437, y=858..860
y=1269, x=548..561
x=342, y=1554..1569
y=92, x=362..369
y=1494, x=360..370
x=456, y=1292..1295
x=456, y=186..201
y=1594, x=337..357
y=379, x=400..402
y=788, x=516..520
y=777, x=401..428
y=314, x=495..497
x=506, y=1093..1103
y=1715, x=543..546
y=314, x=334..346
x=385, y=26..40
y=1801, x=314..330
x=386, y=1765..1770
x=359, y=991..1004
y=1206, x=382..389
x=392, y=561..571
y=1202, x=463..467
x=462, y=1307..1318
x=552, y=684..711
y=362, x=447..487
x=544, y=640..656
x=478, y=384..409
x=493, y=952..972
x=586, y=1691..1701
x=440, y=713..721
x=400, y=684..707
y=1012, x=407..409
x=402, y=835..851
x=400, y=367..379
y=565, x=384..386
y=1430, x=491..510
y=1619, x=381..384
y=22, x=370..373
x=477, y=1072..1090
x=586, y=425..442
x=423, y=1140..1148
x=330, y=554..559
x=409, y=962..965
x=475, y=1122..1126
y=1206, x=559..583
y=881, x=325..335
x=474, y=197..206
x=392, y=143..163
y=604, x=392..415
y=965, x=409..423
x=421, y=271..288
y=1038, x=337..344
y=1146, x=403..409
x=476, y=1304..1315
x=561, y=3..9
x=482, y=791..805
x=482, y=1369..1381
x=583, y=1008..1020
y=838, x=465..485
y=618, x=564..574
x=362, y=69..92
x=409, y=1351..1362
x=511, y=1074..1081
y=1156, x=509..519
x=341, y=1393..1413
x=570, y=148..157
x=335, y=450..477
y=397, x=494..519
x=434, y=1625..1627
x=325, y=871..881
x=362, y=1364..1366
x=510, y=1585..1599
x=496, y=591..604
y=1006, x=407..409
y=124, x=378..406
x=365, y=491..500
y=1655, x=380..401
x=367, y=1684..1695
y=1167, x=386..396
x=519, y=382..397
y=634, x=520..525
y=1254, x=457..475
x=470, y=1545..1559
x=321, y=1607..1609
x=336, y=1069..1082
y=272, x=463..465
x=398, y=209..222
y=1598, x=485..497
x=354, y=661..666
x=381, y=770..776
x=461, y=1570..1583
x=565, y=986..1000
x=405, y=42..44
x=454, y=1292..1295
x=475, y=1594..1608
x=545, y=1365..1373
x=530, y=351..356
x=496, y=526..535
x=398, y=1265..1283
x=462, y=1153..1165
x=391, y=345..353
x=485, y=1514..1517
y=369, x=423..431
y=176, x=417..435
y=1521, x=518..524
y=1178, x=399..420
y=1075, x=327..329
x=542, y=876..887
y=248, x=521..524
x=367, y=373..391
x=514, y=1227..1239
y=1605, x=464..466
x=549, y=152..175
y=1715, x=358..494
y=555, x=451..455
x=415, y=215..235
x=335, y=1129..1131
x=525, y=1700..1702
y=175, x=379..393
x=493, y=1769..1793
y=1295, x=454..456
x=480, y=514..516
x=397, y=1472..1478
x=516, y=421..423
x=437, y=1450..1460
y=1503, x=390..394
y=951, x=314..329
x=578, y=566..593
y=952, x=532..551
y=330, x=482..488
x=547, y=986..1000
x=390, y=1592..1605
y=776, x=381..397
x=380, y=590..603
y=1378, x=448..453
y=10, x=393..421
x=483, y=440..453
x=560, y=556..563
x=458, y=1398..1403
y=1546, x=510..523
y=1698, x=575..578
x=537, y=555..563
y=547, x=315..342
x=331, y=532..534
x=583, y=398..405
x=386, y=563..565
y=1003, x=521..529
x=546, y=961..970
y=949, x=543..545
y=520, x=470..486
x=554, y=74..80
x=355, y=1670..1671
x=395, y=1614..1625
x=409, y=1194..1203
x=434, y=626..644
y=975, x=533..553
x=409, y=1006..1012
x=394, y=1492..1503
y=939, x=320..322
y=793, x=315..324
x=581, y=1485..1492
x=574, y=1604..1628
x=406, y=855..865
x=341, y=577..580
x=498, y=792..805
y=1625, x=395..397
x=433, y=1450..1460
y=1393, x=395..413
x=432, y=294..312
x=451, y=1575..1588
y=1179, x=480..496
y=789, x=465..470
x=527, y=510..514
y=784, x=484..501
x=446, y=1196..1208
y=1016, x=540..543
y=1004, x=359..374
x=533, y=206..232
x=460, y=768..793
x=336, y=1092..1100
x=379, y=169..175
x=334, y=310..314
y=1638, x=466..471
y=1628, x=566..574
y=311, x=534..541
x=397, y=770..776
x=450, y=321..332
x=466, y=1105..1117
y=211, x=465..485
x=322, y=1556..1563
x=441, y=394..398
x=342, y=1766..1780
y=232, x=533..555
x=503, y=215..217
x=509, y=1700..1702
x=478, y=514..516
x=553, y=963..975
x=551, y=942..952
y=499, x=522..548
y=666, x=480..487
y=1325, x=323..336
x=352, y=1040..1061
x=584, y=626..642
y=1630, x=388..404
y=518, x=509..513
x=415, y=417..423
x=469, y=114..127
x=348, y=1184..1193
y=322, x=461..478
x=454, y=438..447
x=521, y=1768..1782
x=478, y=486..498
y=1338, x=460..476
x=338, y=703..710
y=1147, x=470..488
x=405, y=445..468
x=368, y=54..63
x=487, y=400..424
x=475, y=638..640
x=507, y=567..581
y=1320, x=569..581
x=383, y=25..40
x=541, y=309..311
y=1042, x=522..539
y=44, x=400..405
y=1514, x=428..442
y=424, x=397..409
x=479, y=117..119
x=447, y=1691..1693
x=569, y=768..786
x=319, y=1239..1249
y=1491, x=436..455
x=477, y=726..749
x=488, y=690..699
x=455, y=423..425
x=548, y=484..499
y=1738, x=341..343
x=577, y=858..883
y=710, x=322..338
x=461, y=695..706
x=319, y=468..478
x=532, y=276..293
y=859, x=534..555
x=559, y=1050..1064
x=399, y=100..108
y=1350, x=373..378
x=469, y=1325..1335
y=947, x=320..322
x=522, y=36..42
x=516, y=590..600
x=547, y=767..786
x=380, y=476..488
x=518, y=476..483
x=442, y=75..93
y=93, x=442..453
x=548, y=107..109
x=447, y=352..362
x=370, y=969..971
x=501, y=49..60
x=431, y=562..582
y=1236, x=486..511
x=538, y=1765..1778
y=1403, x=458..461
y=66, x=341..344
y=1432, x=425..427
x=537, y=1524..1533
x=457, y=1242..1254
x=502, y=95..105
x=492, y=752..763
y=736, x=568..573
x=346, y=309..314
x=390, y=279..296
x=390, y=1565..1573
x=467, y=1770..1793
x=478, y=178..186
x=563, y=165..188
x=579, y=1113..1127
y=1736, x=346..506
x=470, y=51..54
y=556, x=484..486
y=862, x=331..335
y=60, x=501..504
x=471, y=216..226
x=542, y=961..970
x=475, y=1543..1552
x=588, y=1485..1492
x=424, y=188..191
x=478, y=858..860
y=821, x=567..570
x=334, y=778..795
y=303, x=447..460
y=706, x=447..461
x=368, y=805..811
x=579, y=1281..1293
x=409, y=419..424
x=371, y=704..729
x=523, y=606..616
x=342, y=1093..1100
y=1798, x=350..377
x=577, y=682..709
y=1569, x=342..361
x=574, y=397..405
y=349, x=422..433
x=510, y=10..20
x=544, y=3..9
x=386, y=1156..1167
x=436, y=664..669
x=332, y=147..150
y=1357, x=452..469
y=530, x=559..583
y=424, x=487..506
x=574, y=1438..1441
y=1479, x=553..577
x=517, y=288..294
y=604, x=469..496
y=360, x=405..409
x=568, y=1648..1655
y=698, x=315..330
y=447, x=430..454
x=342, y=784..790
y=947, x=459..469
y=615, x=349..373
x=475, y=354..358
x=331, y=1603..1612
x=371, y=481..504
x=431, y=1352..1362
x=556, y=1228..1248
x=396, y=436..438
x=559, y=518..530
x=466, y=1661..1676
x=409, y=96..112
y=1064, x=559..585
y=29, x=458..468
y=670, x=473..493
y=491, x=362..365
y=1390, x=428..430
x=331, y=834..840
y=1133, x=429..439
y=887, x=397..542
x=591, y=1647..1655
y=398, x=436..441
x=399, y=1473..1478
y=211, x=357..361
x=592, y=1378..1382
x=513, y=507..518
x=485, y=690..699
x=542, y=1058..1083
x=455, y=240..253
x=510, y=1632..1654
x=525, y=1302..1314
x=520, y=625..634
x=484, y=772..784
x=379, y=1668..1672
x=489, y=789..802
x=431, y=365..369
x=543, y=939..949
x=450, y=506..520
x=362, y=491..500
y=971, x=347..370
y=1400, x=510..532
y=687, x=455..479
x=388, y=314..317
x=409, y=336..360
y=1103, x=491..506
y=1317, x=434..452
x=574, y=595..618
y=109, x=531..548
y=1412, x=439..444
x=534, y=309..311
y=1609, x=321..323
x=497, y=1572..1598
x=389, y=935..940
x=463, y=261..272
x=357, y=1040..1061
x=455, y=1481..1491
y=41, x=416..440
y=175, x=538..549
x=369, y=70..92
x=340, y=798..815
x=317, y=1758..1760
y=309, x=534..541
y=1275, x=420..441
y=1278, x=455..473
x=457, y=1218..1231
x=497, y=302..314
x=365, y=1657..1663
y=1471, x=538..542
y=993, x=437..459
y=612, x=361..364
y=1049, x=465..483
y=54, x=447..470
x=482, y=964..979
x=331, y=1744..1758
x=345, y=201..217
y=725, x=427..447
x=387, y=1059..1078
x=422, y=334..349
x=470, y=1304..1315
x=542, y=181..189
y=461, x=492..510
x=403, y=1568..1580
x=538, y=1171..1179
x=463, y=218..229
x=340, y=506..510
x=439, y=1390..1412
y=786, x=547..569
x=392, y=1565..1573
x=348, y=1418..1422
x=356, y=1123..1132
x=513, y=813..819
x=400, y=1515..1540
y=275, x=486..488
x=513, y=36..42
x=389, y=1265..1283
x=373, y=7..22
x=347, y=937..965
x=522, y=1071..1084
x=438, y=652..660
x=361, y=1553..1569
x=390, y=1492..1503
y=1061, x=352..357
y=996, x=589..592
x=475, y=328..340
x=498, y=184..200
x=486, y=248..275
x=455, y=676..687
x=583, y=1325..1340
x=364, y=227..237
x=495, y=302..314
y=274, x=329..337
x=471, y=1619..1638
y=1000, x=547..565
x=491, y=1415..1430
x=548, y=1264..1269
y=669, x=422..436
x=344, y=1032..1038
y=571, x=374..392
x=459, y=1177..1186
x=369, y=1377..1381
x=526, y=928..934
x=343, y=124..126
x=434, y=1312..1317
y=213, x=314..340
y=1206, x=457..475
y=749, x=471..477
x=490, y=1546..1559
x=409, y=1119..1146
x=557, y=592..595
x=539, y=1626..1632
y=860, x=437..478
x=358, y=1086..1109
x=347, y=124..126
x=562, y=970..973
y=90, x=383..393
y=948, x=567..569
x=575, y=1695..1698
y=119, x=479..481
x=405, y=1515..1540
x=441, y=1329..1347
y=559, x=330..348
y=1017, x=341..344
y=1050, x=403..412
y=1017, x=574..576
x=465, y=200..211
y=489, x=398..408
x=488, y=247..275
x=510, y=1050..1060
x=381, y=1591..1619
y=707, x=400..411
x=397, y=876..887
y=805, x=482..498
x=486, y=552..556
y=235, x=415..433
x=471, y=31..44
x=591, y=566..593
x=560, y=649..651
x=443, y=507..520
x=495, y=693..702
x=428, y=770..777
y=1060, x=365..371
x=347, y=1329..1344
x=464, y=569..587
x=463, y=1194..1202
x=368, y=997..1001
x=565, y=1007..1020
y=790, x=342..353
x=486, y=528..538
x=328, y=1123..1136
y=1784, x=482..487
y=1422, x=372..378
x=359, y=1387..1391
x=430, y=437..447
x=426, y=1164..1186
x=542, y=1721..1722
x=514, y=627..638
x=534, y=841..859
y=1043, x=424..429
x=406, y=240..255
x=339, y=106..108
x=374, y=560..571
y=186, x=473..478
x=335, y=847..862
x=533, y=1726..1751
x=494, y=526..535
x=465, y=142..145
x=524, y=233..248
x=544, y=181..189
x=320, y=1431..1453
x=500, y=1665..1691
x=340, y=1388..1390
x=506, y=529..538
y=1315, x=470..476
x=423, y=364..369
x=433, y=713..721
x=399, y=999..1019
x=383, y=839..866
y=1117, x=455..466
y=790, x=535..539
y=20, x=486..510
x=384, y=1591..1619
x=439, y=1108..1133
y=493, x=466..469
y=342, x=569..579
y=1714, x=507..533
x=519, y=1140..1156
x=485, y=710..721
x=343, y=891..904
x=473, y=656..670
x=340, y=206..213
x=513, y=1625..1632
x=408, y=1059..1078
x=315, y=772..793
x=329, y=106..108
x=582, y=727..742
y=632, x=543..547
x=399, y=962..979
x=512, y=1683..1692
x=538, y=527..536
x=474, y=437..449
x=562, y=488..506
x=335, y=870..881
y=1103, x=556..570
x=322, y=54..56
x=430, y=536..546
y=561, x=460..471
x=385, y=537..552
x=548, y=1462..1479
x=516, y=769..788
x=473, y=178..186
y=793, x=460..477
x=492, y=455..461
x=592, y=983..996
y=1692, x=512..535
x=551, y=1423..1440
x=491, y=635..647
y=1347, x=525..539
x=324, y=772..793
x=370, y=8..22
x=545, y=939..949
x=349, y=589..615
x=511, y=414..426
y=1109, x=358..379
x=431, y=752..763
x=329, y=270..274
x=471, y=1661..1676
x=482, y=330..335
y=964, x=512..524
x=455, y=1105..1117
y=1778, x=538..554
y=209, x=357..361
y=1583, x=461..481
x=418, y=143..163
y=488, x=578..587
x=446, y=463..474
x=542, y=1465..1471
x=413, y=74..77
x=509, y=508..518
y=776, x=465..470
x=440, y=15..41
x=559, y=1183..1206
x=337, y=920..926
x=446, y=1215..1228
y=1655, x=568..591
x=519, y=449..467
x=337, y=1032..1038
y=271, x=379..383
y=640, x=473..475
y=1314, x=525..551
y=410, x=398..405
x=442, y=1502..1514
x=386, y=1683..1695
x=350, y=406..416
y=1479, x=526..548
x=579, y=473..475
x=365, y=123..133
y=947, x=428..430
x=436, y=938..950
y=253, x=455..471
y=1751, x=533..546
x=460, y=485..498
y=1691, x=443..447
x=441, y=1267..1275
x=393, y=3..10
y=293, x=527..532
x=362, y=1657..1663
y=127, x=469..487
x=378, y=1338..1350
x=455, y=612..624
x=455, y=370..382
x=452, y=1156..1169
x=314, y=1791..1801
x=490, y=74..85
y=1016, x=500..505
y=1340, x=583..588
y=654, x=346..362
y=1597, x=319..328
y=1557, x=348..351
x=399, y=1175..1178
x=370, y=1468..1494
x=575, y=625..642
x=558, y=917..929
y=1632, x=513..539
x=368, y=1222..1226
y=819, x=497..513
y=1250, x=462..464
x=383, y=86..90
x=549, y=1422..1440
y=1021, x=533..554
y=514, x=527..541
y=1059, x=444..471
y=1414, x=569..577
x=454, y=1045..1050
x=551, y=1301..1314
x=441, y=415..428
y=294, x=493..517
x=369, y=202..217
x=485, y=287..297
x=500, y=922..949
y=1186, x=426..437
y=1362, x=409..431
x=473, y=264..277
x=539, y=1330..1347
x=407, y=835..851
y=603, x=378..380
x=477, y=549..559
x=470, y=197..206
x=330, y=597..614
x=487, y=1782..1784
x=487, y=351..362
x=433, y=1046..1050
x=515, y=164..182
y=37, x=340..345
x=400, y=240..255
y=1782, x=579..584
x=345, y=890..904
y=1671, x=350..355
x=458, y=23..29
x=588, y=1325..1340
x=461, y=309..322
x=365, y=1035..1060
y=1060, x=510..534
x=551, y=920..932
x=361, y=609..612
x=501, y=629..656
x=521, y=606..616
x=379, y=251..271
y=1617, x=494..511
y=982, x=324..326
x=351, y=1330..1344
x=460, y=1328..1338
y=60, x=314..337
x=344, y=1122..1136
x=348, y=1557..1566
x=485, y=199..211
y=1544, x=560..573
y=811, x=343..368
x=536, y=1483..1489
x=570, y=801..821
x=581, y=1300..1320
x=568, y=357..365
y=500, x=362..365
y=113, x=323..348
x=543, y=1016..1018
x=324, y=54..56
x=561, y=1434..1446
y=1441, x=571..574
y=1760, x=317..320
y=851, x=402..407
x=493, y=657..670
x=560, y=1453..1458
x=401, y=769..777
x=425, y=1429..1432
x=397, y=418..424
x=533, y=1706..1714
x=391, y=1122..1144
y=63, x=368..389
y=1289, x=323..346
y=620, x=516..535
x=465, y=1075..1088
x=406, y=619..644
y=702, x=479..495
x=449, y=1575..1588
y=191, x=402..424
x=480, y=654..666
y=534, x=331..333
y=222, x=398..412
x=440, y=733..743
y=932, x=551..569
y=1424, x=479..482
y=1413, x=337..341
x=399, y=1123..1144
y=699, x=485..488
y=1770, x=381..386
x=415, y=1665..1675
y=1456, x=360..384
x=485, y=1572..1598
y=296, x=363..390
x=487, y=654..666
x=461, y=1529..1533
y=277, x=457..473
y=1203, x=409..436
x=477, y=768..793
x=367, y=1387..1391
x=327, y=1238..1249
x=560, y=917..929
x=535, y=1682..1692
y=1460, x=433..437
x=587, y=480..488
x=417, y=173..176
y=1789, x=400..427
x=549, y=1592..1596
y=474, x=446..476
x=401, y=1641..1655
x=496, y=477..483
x=543, y=626..632
y=1247, x=345..361
y=1299, x=443..462
y=217, x=345..369
x=482, y=1415..1424
x=496, y=71..80
x=368, y=537..552
y=1382, x=438..459
x=320, y=939..947
y=1676, x=318..323
x=585, y=1379..1382
x=569, y=919..932
y=217, x=580..586
x=535, y=780..790
x=571, y=640..656
x=510, y=1414..1430
y=403, x=358..374
y=81, x=404..421
x=451, y=1215..1228
y=237, x=364..366
x=346, y=634..654
y=1191, x=396..403
x=512, y=955..964
y=595, x=557..560
y=77, x=413..415
x=592, y=1354..1367
x=586, y=1140..1146
x=478, y=613..624
x=542, y=526..536
y=1478, x=397..399
y=786, x=434..448
y=1641, x=338..340
